,song_id,lyrics,text
10,18,"DecodingResult(audio_features=tensor([[-0.7462,  0.0228,  0.2736,  ..., -0.2585,  0.8890,  0.2056],
        [-0.3634,  0.3523,  0.6156,  ..., -0.2630,  0.9028,  0.1817],
        [ 0.4785,  1.1352,  0.2013,  ..., -0.5948,  0.5439,  0.0172],
        ...,
        [ 0.3696, -0.5858, -0.5829,  ...,  0.9965, -0.2007,  0.0257],
        [ 0.0894, -0.1624,  0.2556,  ...,  1.0744,  0.7495,  0.1041],
        [-0.8499,  0.8451, -0.0674,  ...,  0.7124, -0.2983, -0.2107]]), language='en', language_probs=None, tokens=[50364, 286, 959, 291, 11, 16583, 11, 439, 264, 959, 291, 747, 50581, 50581, 400, 8296, 322, 264, 24417, 295, 5756, 11, 286, 1411, 291, 1400, 50873, 50873, 2260, 3390, 307, 2726, 11, 633, 1623, 307, 5463, 51118, 51118, 583, 300, 857, 2544, 281, 10283, 309, 11, 445, 5965, 5061, 322, 51393, 51393], text='I love you, Satan, all the love you take And sleeping on the rays of snow, I left you far Your blood is taken, every moment is broken But that bit seems to shake it, just keeps holding on', avg_logprob=-0.7336806544551143, no_speech_prob=0.4713645577430725, temperature=0.0, compression_ratio=1.375)","I love you, Satan, all the love you take And sleeping on the rays of snow, I left you far Your blood is taken, every moment is broken But that bit seems to shake it, just keeps holding on"
11,19,"DecodingResult(audio_features=tensor([[-0.3821,  0.3288,  0.4684,  ..., -0.4954,  0.9687,  0.5143],
        [ 0.0677,  0.6814,  1.1168,  ..., -0.1883,  0.7026,  0.3555],
        [ 0.2947,  1.1349,  0.5204,  ..., -0.0213,  0.2810,  0.2823],
        ...,
        [ 0.4476,  1.0505, -0.7014,  ...,  0.0367, -0.0206, -0.0835],
        [ 0.5449,  1.1289,  0.2157,  ..., -0.3105, -0.2050, -0.4418],
        [-1.0787,  1.2831,  0.3002,  ...,  0.2525, -0.5359, -0.9650]]), language='en', language_probs=None, tokens=[50364, 286, 478, 28115, 2117, 11, 1699, 11, 321, 603, 1128, 312, 4570, 50614, 50664, 492, 603, 1128, 312, 4570, 50814, 51714], text=""I'm thirsty land, wait, we'll never be proud We'll never be proud"", avg_logprob=-0.7571334838867188, no_speech_prob=0.4126087725162506, temperature=0.0, compression_ratio=1.2037037037037037)","I'm thirsty land, wait, we'll never be proud We'll never be proud"
12,20,"DecodingResult(audio_features=tensor([[-0.4338,  0.0897,  0.5243,  ..., -0.2249,  0.8925,  0.7576],
        [-0.1800,  0.6105,  0.5568,  ...,  0.1400,  0.6723,  0.1396],
        [ 0.3013,  1.1493,  0.4570,  ..., -0.2495,  0.7498,  0.1648],
        ...,
        [ 0.0176, -0.0306, -0.0119,  ...,  0.0078, -0.0064,  0.0634],
        [-0.6745,  0.0080,  0.0285,  ..., -0.0421,  0.6249,  0.7285],
        [-0.8513,  0.6746,  0.0459,  ...,  0.0862,  0.0368,  0.2262]]), language='en', language_probs=None, tokens=[50364, 7609, 51464, 51464], text='Music', avg_logprob=-1.2947126388549806, no_speech_prob=0.3328871428966522, temperature=0.0, compression_ratio=0.38461538461538464)",Music
13,21,"DecodingResult(audio_features=tensor([[-0.5594, -0.1933,  0.0225,  ..., -0.6715,  1.0887,  0.2769],
        [ 0.0129,  0.4237,  1.2528,  ...,  0.0679,  0.8238,  0.2263],
        [-0.2190,  0.7002,  1.8898,  ...,  0.0745,  0.3924, -0.1601],
        ...,
        [ 0.0321,  0.2264, -0.4813,  ...,  0.1669,  0.5664,  0.9438],
        [-0.0980, -0.2740, -0.5551,  ...,  0.2809,  0.7828,  0.7671],
        [-0.9602,  0.7750, -0.1084,  ...,  0.1049, -0.1237,  0.0774]]), language='en', language_probs=None, tokens=[50364, 7609, 50864], text='Music', avg_logprob=-1.6642661094665527, no_speech_prob=0.259812593460083, temperature=0.0, compression_ratio=0.38461538461538464)",Music
14,22,"DecodingResult(audio_features=tensor([[-0.7353, -0.0423,  0.3501,  ..., -0.2545,  1.0053,  0.6508],
        [-0.4229,  0.2852,  0.9409,  ...,  0.2786,  0.8228,  0.6705],
        [ 0.4970,  0.4974,  1.1958,  ..., -0.4485,  0.7526,  0.1878],
        ...,
        [-0.0952,  1.1340, -0.0030,  ...,  0.5288, -0.4767,  0.4041],
        [-0.3462,  0.5522,  0.0844,  ...,  0.2838,  0.1147,  0.6498],
        [-0.7806,  0.9225,  0.0682,  ...,  0.0447, -0.3313, -0.2820]]), language='en', language_probs=None, tokens=[50364, 7609, 50864, 50864, 759, 257, 3506, 294, 264, 5458, 307, 6412, 51064, 51064, 2492, 322, 291, 13466, 293, 7754, 51314, 51314, 879, 1314, 293, 360, 257, 2117, 689, 613, 7505, 51614, 51614], text='Music If a fish in the hole is filled Come on you insist and succeed Be away and do a land where these dreams', avg_logprob=-0.9403687645407284, no_speech_prob=0.2958517372608185, temperature=0.0, compression_ratio=1.1978021978021978)",Music If a fish in the hole is filled Come on you insist and succeed Be away and do a land where these dreams
15,24,"DecodingResult(audio_features=tensor([[-0.5053,  0.5507,  0.5954,  ..., -0.2172,  0.7453,  0.4123],
        [ 0.0189,  0.8575,  1.0411,  ..., -0.0286,  0.6322,  0.3191],
        [ 0.3495,  1.1943,  0.2525,  ..., -0.0230,  0.6886, -0.0910],
        ...,
        [ 0.2230,  0.3687,  1.0735,  ...,  0.7776,  0.7508,  0.3468],
        [-0.1242, -0.5757, -0.3491,  ...,  0.1068,  0.8765,  0.8692],
        [-0.9128,  0.7576, -0.1262,  ...,  0.1305, -0.0480,  0.1516]]), language='en', language_probs=None, tokens=[50364, 1603, 16115, 81, 9030, 0, 50414, 50478, 876, 11, 2086, 0, 50528], text='Brrrrgh! Oh, yes!', avg_logprob=-1.3201484680175781, no_speech_prob=0.3238314986228943, temperature=0.0, compression_ratio=0.7391304347826086)","Brrrrgh! Oh, yes!"
16,25,"DecodingResult(audio_features=tensor([[-0.6404, -0.1084,  0.8098,  ...,  0.2547,  0.7468,  0.4072],
        [-0.4339,  0.4230,  1.0684,  ...,  0.4740,  0.4776,  0.5092],
        [ 0.1980,  1.0644,  0.5120,  ..., -0.0124,  0.2161,  0.4753],
        ...,
        [ 0.8064, -0.9328, -2.1739,  ..., -0.4863,  0.8458,  0.3497],
        [-0.2601, -0.3940, -0.5748,  ..., -0.5109,  0.1513,  0.0940],
        [-0.6857,  1.1814,  0.1566,  ...,  0.2195, -0.6443, -0.9308]]), language='en', language_probs=None, tokens=[50364, 7609, 51514, 51514], text='Music', avg_logprob=-1.4471010208129882, no_speech_prob=0.3555641770362854, temperature=0.0, compression_ratio=0.38461538461538464)",Music
17,31,"DecodingResult(audio_features=tensor([[-6.8238e-01, -7.7501e-04,  2.5081e-01,  ..., -1.0303e-01,
          9.3013e-01,  3.9926e-01],
        [-4.4714e-02,  4.4636e-01,  5.2423e-01,  ...,  1.9301e-01,
          4.2631e-01,  4.2250e-01],
        [-5.3753e-02,  1.5472e+00,  2.2953e-01,  ..., -6.0199e-01,
          3.5095e-01, -1.8613e-01],
        ...,
        [ 6.8107e-01, -4.3096e-01,  4.1609e-01,  ...,  5.1291e-02,
         -3.3737e-02,  1.5044e+00],
        [ 9.4610e-03, -6.7519e-01,  1.2363e+00,  ..., -6.9768e-01,
          6.2717e-02,  4.1174e-01],
        [-1.2310e+00,  1.2588e+00,  4.2698e-01,  ...,  8.0788e-02,
         -5.3557e-01, -8.6885e-01]]), language='en', language_probs=None, tokens=[50364, 286, 478, 370, 2919, 11, 24655, 11, 286, 478, 370, 2919, 11, 24655, 51764, 51764], text=""I'm so excited, babe, I'm so excited, babe"", avg_logprob=-1.1784495185403263, no_speech_prob=0.23919081687927246, temperature=0.0, compression_ratio=1.2727272727272727)","I'm so excited, babe, I'm so excited, babe"
18,32,"DecodingResult(audio_features=tensor([[-0.5222,  0.4240,  0.1141,  ..., -0.6495,  0.9687,  0.7553],
        [ 0.1483,  0.6703,  0.2322,  ..., -0.3185,  0.8074,  0.6571],
        [ 0.9988,  1.5253,  0.5705,  ..., -0.0095, -0.1710,  0.2749],
        ...,
        [ 0.2876, -0.2233, -0.5877,  ..., -0.7527,  0.5571,  0.4748],
        [-0.2799, -0.0071, -0.1329,  ...,  0.5292,  0.2800,  0.4964],
        [-0.7958,  0.8252,  0.0793,  ...,  0.1871, -0.0297, -0.1866]]), language='en', language_probs=None, tokens=[50364, 1018, 4552, 293, 5956, 1856, 50548, 50600, 1057, 321, 1065, 390, 1855, 321, 632, 808, 510, 50968, 51620], text='As Paul and Love leave All we own was friends we had come here', avg_logprob=-1.1684990882873536, no_speech_prob=0.17668157815933228, temperature=0.0, compression_ratio=0.9538461538461539)",As Paul and Love leave All we own was friends we had come here
19,35,"DecodingResult(audio_features=tensor([[-0.7445, -0.7207, -0.0773,  ..., -0.3530,  0.3297, -0.0770],
        [ 0.2953,  1.3384,  0.4365,  ...,  0.3409, -0.2150,  0.2962],
        [ 1.6107,  0.2912,  1.4967,  ...,  0.1487, -0.2245,  0.7430],
        ...,
        [-0.3745,  0.3368,  0.1435,  ...,  0.2364, -0.4003,  0.7176],
        [-0.7871,  0.1260,  0.0304,  ...,  0.1178,  0.3074,  0.7489],
        [-0.9462,  0.6649, -0.0122,  ...,  0.0845, -0.0244,  0.1508]]), language='yo', language_probs=None, tokens=[50364, 624, 470, 290, 511, 4775, 1105, 18501, 1026, 7603, 4093, 463, 350, 2419, 8536, 375, 3782, 803, 65, 409, 50964, 50964, 624, 470, 290, 511, 4775, 1105, 18501, 1026, 7603, 4093, 463, 350, 2419, 8536, 375, 3782, 803, 65, 409, 51364, 51364], text='Uri gherima umako di tanko ma kara fu liani kebun Uri gherima umako di tanko ma kara fu liani kebun', avg_logprob=-0.763054674321955, no_speech_prob=0.574042022228241, temperature=0.0, compression_ratio=1.6779661016949152)",Uri gherima umako di tanko ma kara fu liani kebun Uri gherima umako di tanko ma kara fu liani kebun
20,37,"DecodingResult(audio_features=tensor([[-0.6752,  0.4542,  0.3788,  ..., -0.2326,  0.4658,  0.6016],
        [-0.3515,  0.6082,  0.6964,  ..., -0.1978,  0.1973,  0.5636],
        [ 0.0345,  1.1747,  0.2939,  ..., -0.3978,  0.0692,  0.2540],
        ...,
        [-0.1875, -0.4039, -0.2293,  ...,  0.2060,  0.5957,  0.4038],
        [-0.5154,  0.5743, -0.2287,  ..., -0.0939,  0.0585,  0.2934],
        [-0.9457,  0.7183,  0.0041,  ...,  0.0758, -0.1889,  0.0746]]), language='en', language_probs=None, tokens=[50364, 400, 550, 321, 603, 536, 291, 294, 264, 958, 960, 13, 50714], text=""And then we'll see you in the next video."", avg_logprob=-1.364156859261649, no_speech_prob=0.4117329716682434, temperature=0.0, compression_ratio=0.8723404255319149)",And then we'll see you in the next video.
21,39,"DecodingResult(audio_features=tensor([[-0.6332,  0.0165,  0.3196,  ...,  0.0532,  0.9849,  0.6444],
        [-0.3667,  0.2914,  0.9472,  ...,  0.4104,  0.7784,  0.4367],
        [-0.2972,  0.4606,  1.4944,  ...,  0.3170,  0.2633,  0.5250],
        ...,
        [-0.0056, -0.1030,  0.2567,  ...,  0.4961,  0.5075,  0.5899],
        [ 0.0054,  0.1770,  0.1671,  ...,  0.0338,  0.0255, -0.1265],
        [-0.9535,  0.6463, -0.0535,  ...,  0.0723,  0.0711,  0.1773]]), language='en', language_probs=None, tokens=[50364, 7609, 50664], text='Music', avg_logprob=-1.752511739730835, no_speech_prob=0.2980962097644806, temperature=0.0, compression_ratio=0.38461538461538464)",Music
22,40,"DecodingResult(audio_features=tensor([[-0.6714,  0.2899,  0.4338,  ..., -0.1150,  0.9558,  0.3245],
        [-0.0099,  0.7610,  0.7954,  ..., -0.0148,  0.9297,  0.0835],
        [ 0.0725,  1.0330,  0.6768,  ...,  0.0902,  0.5821,  0.3442],
        ...,
        [-0.2865,  0.8062, -2.3275,  ..., -0.3588, -0.1432,  0.6003],
        [ 0.0229,  1.3340, -1.4397,  ..., -0.5769, -0.2654,  0.2404],
        [-1.2397,  1.3333, -0.1055,  ...,  0.3627, -0.6549, -0.7496]]), language='en', language_probs=None, tokens=[50364, 492, 434, 1280, 586, 13, 50464, 50614, 509, 1643, 411, 1310, 1922, 264, 561, 321, 458, 658, 264, 912, 4227, 3543, 307, 264, 3954, 13, 51014, 51164, 492, 434, 1280, 586, 13, 51314, 51414, 1079, 11, 321, 434, 1280, 586, 13, 51614, 51664], text=""We're home now. You seem like maybe half the people we know got the same sad star is the town. We're home now. Yes, we're home now."", avg_logprob=-0.6163548363579644, no_speech_prob=0.4003247618675232, temperature=0.0, compression_ratio=1.3936170212765957)","We're home now. You seem like maybe half the people we know got the same sad star is the town. We're home now. Yes, we're home now."
23,41,"DecodingResult(audio_features=tensor([[-0.2952,  0.2574,  0.5868,  ..., -0.2595,  0.8926,  0.4470],
        [ 0.2077,  0.4568,  1.0398,  ..., -0.0792,  0.7944,  0.2580],
        [ 0.5788,  0.8532,  0.6492,  ..., -0.2854,  0.5644,  0.1157],
        ...,
        [-0.2732,  0.6513, -0.6023,  ...,  0.1428,  0.4689, -0.2075],
        [-0.9851,  0.7755, -0.7915,  ..., -0.0103,  0.4052, -0.2698],
        [-1.0727,  0.9840, -0.0356,  ...,  0.3944, -0.6664, -0.4832]]), language='en', language_probs=None, tokens=[50364, 639, 8306, 1071, 8341, 295, 341, 1002, 13, 50714, 51514], text='This contains another guest of this world.', avg_logprob=-1.2925689220428467, no_speech_prob=0.4454571604728699, temperature=0.0, compression_ratio=0.875)",This contains another guest of this world.
24,42,"DecodingResult(audio_features=tensor([[-0.3825,  0.0922,  0.7830,  ..., -0.0261,  1.0238,  0.4131],
        [-0.1432,  0.4136,  0.9750,  ...,  0.2646,  0.7709,  0.4027],
        [ 0.4813,  1.2052,  0.3458,  ...,  0.0518,  0.5037,  0.4085],
        ...,
        [-0.4472, -0.8590, -0.8488,  ..., -0.0368, -0.3716,  0.2042],
        [-0.5764, -0.7919,  0.4075,  ..., -0.9571,  0.1984, -0.0406],
        [-0.9552,  0.8528,  0.0994,  ..., -0.0520, -0.1030, -0.2328]]), language='en', language_probs=None, tokens=[50364, 1407, 4584, 721, 300, 286, 600, 11832, 50764, 50964, 3915, 7442, 420, 572, 286, 478, 406, 8067, 51164, 51414, 286, 478, 257, 4716, 1440, 300, 307, 28839, 51614], text=""To achieve things that I've forgotten Smelly or no I'm not hungry I'm a poor child that is frightened"", avg_logprob=-1.1421769460042317, no_speech_prob=0.4454440176486969, temperature=0.0, compression_ratio=1.1477272727272727)",To achieve things that I've forgotten Smelly or no I'm not hungry I'm a poor child that is frightened
25,43,"DecodingResult(audio_features=tensor([[-4.6971e-01, -2.6363e-02,  2.2158e-01,  ..., -6.7310e-02,
          1.0910e+00,  9.0548e-01],
        [ 1.3220e-01,  4.6485e-01,  6.2471e-01,  ...,  3.2170e-01,
          7.6623e-01,  4.3354e-01],
        [ 4.9637e-02,  1.3896e+00, -1.0128e-01,  ..., -1.8464e-01,
          6.0172e-01,  3.8198e-02],
        ...,
        [ 4.9264e-02, -3.7219e-02, -3.8185e-02,  ..., -1.0188e-02,
          1.5913e-02,  9.7212e-02],
        [-1.1457e-01, -1.0019e-03, -6.3332e-01,  ...,  1.8719e-01,
          7.8035e-01,  9.3327e-01],
        [-9.4753e-01,  7.5495e-01, -1.8986e-01,  ...,  2.8557e-02,
          7.2629e-02,  3.9687e-01]]), language='en', language_probs=None, tokens=[50364, 7609, 50464], text='Music', avg_logprob=-1.670143961906433, no_speech_prob=0.48824718594551086, temperature=0.0, compression_ratio=0.38461538461538464)",Music
26,44,"DecodingResult(audio_features=tensor([[-0.4318,  0.3666,  0.8851,  ..., -0.0919,  0.9035,  0.2999],
        [-0.2484,  0.6920,  1.2302,  ...,  0.2234,  0.8734,  0.1766],
        [-0.1519,  1.3332,  1.0712,  ..., -0.1398,  0.2242, -0.0429],
        ...,
        [-0.1864, -0.3178, -0.3853,  ...,  0.7387, -0.5820,  1.7405],
        [-0.0946, -0.2684, -0.3566,  ...,  0.1478,  0.6416,  0.6587],
        [-0.7868,  0.4921, -0.3932,  ...,  0.0719, -0.0751,  0.0914]]), language='en', language_probs=None, tokens=[50364, 7609, 50664], text='Music', avg_logprob=-1.6099693775177002, no_speech_prob=0.39714381098747253, temperature=0.0, compression_ratio=0.38461538461538464)",Music
